2026-03-14 18:23:30  INFO  === Security Monitor Started ===
2026-03-14 18:23:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:49:54  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:49:57  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:00  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:03  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:06  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:09  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:12  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:15  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:18  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:21  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:24  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:27  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:33  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:36  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:39  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:42  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:45  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:48  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:51  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:54  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:50:57  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:00  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:03  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:06  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:09  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:12  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:15  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:18  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:21  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:24  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:27  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:33  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:36  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:39  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:42  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:45  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:48  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:51  INFO  === Security Monitor v2.0 Started (wevtutil mode) ===
2026-03-14 18:51:51  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:54  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:51:57  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:00  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:03  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:06  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:09  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:12  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:15  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:18  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:21  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:24  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:27  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:33  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:36  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:39  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:42  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:45  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:48  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:51  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:54  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:52:57  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:00  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:03  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:06  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:09  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:12  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:15  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:18  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:21  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:24  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:27  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:30  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:33  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:36  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:53:39  ERROR  check_failed_logins error: (1314, 'OpenEventLogW', 'A required privilege is not held by the client.')
2026-03-14 18:55:37  INFO  === Security Monitor v2.0 Started (wevtutil mode) ===
2026-03-14 18:59:30  INFO  === Security Monitor v2.0 Started (wevtutil mode) ===
2026-03-14 19:03:28  INFO  === Security Monitor v2.0 Started (wevtutil mode) ===
2026-03-14 19:03:28  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:28  INFO  Anchored at event record #1629906
2026-03-14 19:03:31  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:35  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:38  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:41  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:44  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:48  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:51  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:54  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:03:57  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:01  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:04  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:07  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:10  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:14  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:17  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:20  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:23  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:27  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:30  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:33  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:36  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:40  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:43  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:46  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:49  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:53  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:56  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:04:59  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:03  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:06  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:11  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:14  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:17  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:21  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:24  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:27  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:30  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:34  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:37  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:40  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:43  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:47  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:50  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:53  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:05:57  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:06:00  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:06:03  INFO  [DEBUG] PowerShell output: '1629906'
2026-03-14 19:06:06  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:06:07  INFO  Failed login detected at 2026-03-14 19:06:06  IP: 157.51.72.14
2026-03-14 19:06:12  INFO  Image captured -> C:\laptop_security_monitor\intruder.jpg
2026-03-14 19:07:17  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:20  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:24  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:27  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:30  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:33  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:37  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:40  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:43  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:46  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:49  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:53  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:56  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:07:59  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:02  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:06  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:09  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:12  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:16  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:19  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:22  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:25  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:28  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:32  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:35  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:38  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:42  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:45  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:48  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:51  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:55  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:08:58  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:01  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:04  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:08  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:11  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:14  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:17  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:21  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:24  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:27  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:30  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:34  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:37  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:40  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:43  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:47  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:50  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:53  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:56  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:09:59  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:03  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:06  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:09  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:12  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:16  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:19  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:22  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:26  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:29  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:32  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:34  INFO  === Security Monitor v2.0 Started (wevtutil mode) ===
2026-03-14 19:10:34  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:34  INFO  Anchored at event record #1630013
2026-03-14 19:10:35  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:37  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:38  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:40  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:42  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:44  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:45  INFO  [DEBUG] PowerShell output: '1630013'
2026-03-14 19:10:47  INFO  [DEBUG] PowerShell output: '1630056'
2026-03-14 19:10:48  INFO  Failed login detected at 2026-03-14 19:10:47  IP: 157.51.72.14
2026-03-14 19:10:48  INFO  [DEBUG] PowerShell output: '1630056'
2026-03-14 19:10:49  INFO  Failed login detected at 2026-03-14 19:10:48  IP: 157.51.72.14
2026-03-14 19:10:50  INFO  Image captured -> C:\laptop_security_monitor\intruder.jpg
2026-03-14 19:10:52  INFO  Image captured -> C:\laptop_security_monitor\intruder.jpg
2026-03-14 19:11:55  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:11:57  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:12:01  INFO  Failed login detected at 2026-03-14 19:11:55  IP: 172.21.68.80
2026-03-14 19:12:03  INFO  Failed login detected at 2026-03-14 19:11:57  IP: 172.21.68.80
2026-03-14 19:12:17  INFO  Image captured -> C:\laptop_security_monitor\intruder.jpg
2026-03-14 19:12:17  INFO  Image captured -> C:\laptop_security_monitor\intruder.jpg
2026-03-14 19:12:42  ERROR  send_photo error: HTTPSConnectionPool(host='api.telegram.org', port=443): Read timed out. (read timeout=20)
2026-03-14 19:13:40  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:43  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:45  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:47  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:48  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:50  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:52  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:53  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:55  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:56  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:13:58  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:00  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:01  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:03  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:05  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:06  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:08  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:09  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:11  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:12  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:14  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:16  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:18  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:19  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:21  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:22  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:24  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:26  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:27  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:29  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:31  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:32  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:34  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:35  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:37  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:39  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:41  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:42  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:44  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:45  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:47  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:48  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:50  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:52  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:54  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:55  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:57  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:14:58  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:00  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:01  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:03  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:05  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:07  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:08  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:10  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:11  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:13  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:14  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:16  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:18  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:20  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:21  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:23  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:24  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:26  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:27  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:30  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:31  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:33  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:34  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:36  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:37  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:39  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:41  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:43  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:44  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:46  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:47  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:49  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:50  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:53  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:54  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:56  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:57  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:15:59  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:00  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:03  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:04  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:06  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:07  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:09  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:10  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:12  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:13  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:16  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:17  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:19  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:20  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:22  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:23  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:26  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:27  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:29  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:30  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:32  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:33  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:35  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:36  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:39  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:40  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:42  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:43  INFO  [DEBUG] PowerShell output: '1630058'
2026-03-14 19:16:45  INFO  [DEBUG] PowerShell output: '1630058'
